,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,1958,TRON,TRX,tron,993,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87236520639.08223,87236580453.00171,True,,11,71659659264.0,8579935072.089717,,2024-06-24T12:32:00.000Z,0.11973173135641826,258609505.96210095,62.1457,1.07735857,-0.42180897,2.53446844,5.20314116,3.3627917,-1.89596314,10444979653.627232,0.4645,10444986815.25,,2024-06-24T12:32:00.000Z,,,,,,2024-06-24 14:34:42.290865
11,5994,Shiba Inu,SHIB,shiba-inu,835,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271281823554.1,589519729981366.6,False,,12,,,,2024-06-24T12:32:00.000Z,1.683208235644817e-05,272122186.31269336,110.1806,1.43507891,-6.346002,-15.08631069,-32.2441167,-33.24488498,-45.45737536,9918662745.943842,0.4411,9922844645.8,,2024-06-24T12:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-06-24 14:34:42.290865
12,5805,Avalanche,AVAX,avalanche,748,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,393753681.1407161,443100051.1407161,False,,13,,,,2024-06-24T12:32:00.000Z,24.908053335580313,524062009.799526,127.1652,2.83250642,-1.41869133,-13.04794403,-34.86871821,-29.52057282,-57.04609372,9807637690.93404,0.4361,17827907267.73,,2024-06-24T12:32:00.000Z,,,,,,2024-06-24 14:34:42.290865
13,6636,Polkadot,DOT,polkadot-new,784,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1460738779.1984422,8228793301.392026,,2024-06-24T12:32:00.000Z,5.63330926690907,173965688.4447221,93.3331,1.34294573,-2.28892596,-8.95097596,-22.9146101,-17.71492119,-43.27092705,8100436390.309917,0.3602,8100436390.31,,2024-06-24T12:32:00.000Z,,,,,,2024-06-24 14:34:42.290865
14,1975,Chainlink,LINK,chainlink,1798,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-06-24T12:32:00.000Z,13.293354360871739,290533004.7552694,68.1846,1.32723142,-1.88417982,-6.87878431,-22.11913632,-9.47490571,-35.80026853,8083688394.0645275,0.3593,13293354360.87,,2024-06-24T12:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-06-24 14:34:42.290865
0,1,Bitcoin,BTC,bitcoin,11133,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19716018.0,19716018.0,False,,1,,,,2024-06-24T12:34:00.000Z,61250.46610640589,26313172886.068962,229.7532,0.51611505,-4.75170804,-6.61672372,-11.45857997,-4.00627049,-13.70461585,1207615292262.2883,53.7515,1286259788234.52,,2024-06-24T12:34:00.000Z,,,,,,2024-06-24 14:35:36.969593
1,1027,Ethereum,ETH,ethereum,9079,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122275692.65424195,122275692.65424195,True,,2,,,,2024-06-24T12:33:00.000Z,3326.573569278793,17326149610.51857,152.1736,0.41677896,-4.91361752,-5.48997046,-10.88773671,6.3527869,-8.7302186,406759087348.85834,18.0875,406759087348.86,,2024-06-24T12:33:00.000Z,,,,,,2024-06-24 14:35:36.969593
2,825,Tether USDt,USDT,tether,89401,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112941691562.6963,116079124154.2452,True,,3,,,,2024-06-24T12:33:00.000Z,0.9997038982382638,53712330333.21497,124.7123,0.02073998,0.03130412,0.05310524,-0.02646178,0.00210971,-0.01388369,112908249328.85112,5.0207,116044752921.08,,2024-06-24T12:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-24 14:35:36.969593
3,1839,BNB,BNB,bnb,2186,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147583569.3974072,147583569.3974072,False,,4,,,,2024-06-24T12:33:00.000Z,569.0375589278426,1776427960.408421,28.7924,0.2526244,-3.46215998,-4.80106238,-5.61892112,-6.28685807,-4.06186442,83980594067.75845,3.7323,83980594067.76,,2024-06-24T12:33:00.000Z,,,,,,2024-06-24 14:35:36.969593
4,5426,Solana,SOL,solana,690,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,462138515.0777776,578772291.7345016,True,,5,,,,2024-06-24T12:33:00.000Z,128.2455664179694,2371479260.2406287,229.5184,1.60588557,-4.33841702,-10.44813118,-23.92464841,-11.87431403,-34.1031749,59267215629.708885,2.6355,74224980380.52,,2024-06-24T12:33:00.000Z,,,,,,2024-06-24 14:35:36.969593
5,3408,USDC,USDC,usd-coin,19855,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32718805145.21032,32718805145.21032,False,,6,,,,2024-06-24T12:33:00.000Z,1.000049411737769,5400758299.498004,164.9735,0.00935776,0.01100267,0.01302744,0.0005896,-0.00287295,0.02193236,32720421838.230267,1.455,32720421838.23,,2024-06-24T12:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-24 14:35:36.969593
6,52,XRP,XRP,xrp,1342,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55618185850.0,99987512072.0,False,,7,,,,2024-06-24T12:34:00.000Z,0.4772673157222754,1062347295.1065488,167.5971,0.48671607,-1.73609847,-4.88884784,-11.06320694,-8.18510636,-25.89662922,26544742265.972137,1.1809,47726731572.23,,2024-06-24T12:34:00.000Z,,,,,,2024-06-24 14:35:36.969593
7,11419,Toncoin,TON,toncoin,432,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2458290273.5884438,5108041713.923841,True,,8,3414166606.0,25203540590.10892,,2024-06-24T12:33:00.000Z,7.382047655734385,399725130.204564,78.5534,1.89499828,-4.17946842,-4.97842439,15.06537679,40.46139813,41.69088884,18147215951.258213,0.8071,37707807359.66,,2024-06-24T12:33:00.000Z,,,,,,2024-06-24 14:35:36.969593
8,74,Dogecoin,DOGE,dogecoin,1010,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144840916383.70526,144840916383.70526,True,,9,,,,2024-06-24T12:34:00.000Z,0.11809777037816188,812639038.082503,157.4909,1.12201998,-5.16094334,-11.91929107,-29.29530388,-21.32931415,-36.05807681,17105389284.44537,0.7607,17105389284.45,,2024-06-24T12:34:00.000Z,,,,,,2024-06-24 14:35:36.969593
9,2010,Cardano,ADA,cardano,1197,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35743185509.199,36994116264.584,False,,10,,,,2024-06-24T12:33:00.000Z,0.37527302541316526,295207571.2746696,22.494,0.84364426,-3.05402512,-7.09674354,-18.6504037,-20.3758933,-44.44054464,13413453363.941116,0.5965,16887286143.59,,2024-06-24T12:33:00.000Z,,,,,,2024-06-24 14:35:36.969593
10,1958,TRON,TRX,tron,993,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87236520639.08223,87236580453.00171,True,,11,71659659264.0,8579715960.952297,,2024-06-24T12:33:00.000Z,0.11972867369273872,258606448.87684986,62.143,1.07282957,-0.4239591,2.54277435,5.21900314,3.42199696,-1.8998415,10444712913.686543,0.4644,10444720075.13,,2024-06-24T12:33:00.000Z,,,,,,2024-06-24 14:35:36.969593
11,5994,Shiba Inu,SHIB,shiba-inu,835,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271281823554.1,589519729981366.6,False,,12,,,,2024-06-24T12:33:00.000Z,1.6833039884122524e-05,272168808.12654716,110.2175,1.37106349,-6.34103587,-15.07664583,-32.1936453,-33.09695929,-45.46967452,9919226989.503891,0.4411,9923409127.25,,2024-06-24T12:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-06-24 14:35:36.969593
12,5805,Avalanche,AVAX,avalanche,748,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,393753681.1407161,443100051.1407161,False,,13,,,,2024-06-24T12:33:00.000Z,24.898836158209047,524045420.663776,127.1696,2.80967625,-1.44417232,-13.0722112,-34.89290454,-29.44396736,-57.05892482,9804008393.414377,0.436,17821310084.83,,2024-06-24T12:33:00.000Z,,,,,,2024-06-24 14:35:36.969593
13,6636,Polkadot,DOT,polkadot-new,784,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1460738779.1984422,8220178465.943645,,2024-06-24T12:34:00.000Z,5.627411678941214,174125873.63966137,93.7967,1.25263255,-2.36708868,-9.00252824,-22.89450834,-17.55313991,-43.35665233,8091955933.454743,0.3599,8091955933.45,,2024-06-24T12:34:00.000Z,,,,,,2024-06-24 14:35:36.969593
14,1975,Chainlink,LINK,chainlink,1798,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-06-24T12:33:00.000Z,13.292117486557137,290529847.3251606,68.1824,1.30923112,-1.89155584,-6.88579169,-22.12733514,-9.37412269,-35.78060301,8082936250.830364,0.3592,13292117486.56,,2024-06-24T12:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-06-24 14:35:36.969593
0,1,Bitcoin,BTC,bitcoin,11133,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19716018.0,19716018.0,False,,1,,,,2024-06-24T12:35:00.000Z,61257.512397558734,26349897277.722057,230.3346,0.53124976,-4.73778938,-6.56468504,-11.47243025,-4.00470303,-13.72785354,1207754217065.4912,53.7576,1286407760348.73,,2024-06-24T12:35:00.000Z,,,,,,2024-06-24 14:36:37.568345
1,1027,Ethereum,ETH,ethereum,9079,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122275692.65424195,122275692.65424195,True,,2,,,,2024-06-24T12:34:00.000Z,3325.6630574057613,17335339761.13247,152.6193,0.45768515,-4.93913289,-5.52423158,-10.92267659,6.45281685,-8.78964932,406647753878.91345,18.0825,406647753878.91,,2024-06-24T12:34:00.000Z,,,,,,2024-06-24 14:36:37.568345
2,825,Tether USDt,USDT,tether,89401,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112941691562.6963,116079124154.2452,True,,3,,,,2024-06-24T12:34:00.000Z,0.999566986422653,53766295847.234116,124.9789,-0.00499858,0.02275357,0.0390382,-0.04561466,0.00408544,-0.02729188,112892786276.80112,5.02,116028860317.44,,2024-06-24T12:34:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-24 14:36:37.568345
3,1839,BNB,BNB,bnb,2186,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147583569.3974072,147583569.3974072,False,,4,,,,2024-06-24T12:34:00.000Z,567.902358795355,1777328960.5878417,29.0472,-0.03166671,-3.63472204,-4.95940222,-5.76659692,-6.33826785,-4.29900465,83813057180.22552,3.7249,83813057180.23,,2024-06-24T12:34:00.000Z,,,,,,2024-06-24 14:36:37.568345
